,Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
0,2022-04-14,M (Jun 2022),0.0,0.0,0.0,0.0,25.0983,0.0,0,0,0
1,2022-04-18,M (Jun 2022),0.0,5.1,0.0,0.0,24.7867,-0.3116,0,0,0
2,2022-04-19,M (Jun 2022),0.0,24.8,25.85,0.0,25.325,0.5383,0,0,0
3,2022-04-20,M (Jun 2022),0.0,5.1,0.0,0.0,23.225,-2.1,0,0,0
4,2022-04-21,M (Jun 2022),0.0,5.1,0.0,0.0,24.975,1.75,0,0,0
5,2022-04-22,M (Jun 2022),0.0,5.1,0.0,0.0,27.625,2.65,0,0,0
6,2022-04-25,M (Jun 2022),0.0,5.1,0.0,0.0,27.125,-0.5,0,0,0
7,2022-04-26,M (Jun 2022),0.0,5.1,0.0,0.0,29.9,2.775,0,0,0
8,2022-04-27,M (Jun 2022),0.0,5.1,0.0,0.0,30.325,0.425,0,0,0
9,2022-04-28,M (Jun 2022),0.0,5.1,0.0,0.0,28.8,-1.525,0,0,0
10,2022-04-29,M (Jun 2022),0.0,5.1,0.0,0.0,30.775,1.975,0,0,0
11,2022-05-02,M (Jun 2022),0.0,5.1,0.0,0.0,30.5,-0.275,0,0,0
12,2022-05-03,M (Jun 2022),0.0,5.1,0.0,0.0,28.725,-1.775,0,0,0
13,2022-05-04,M (Jun 2022),0.0,28.9,27.0,0.0,26.675,-2.05,0,0,0
14,2022-05-05,M (Jun 2022),0.0,30.7,27.2,0.0,31.075,4.4,0,0,0
15,2022-05-06,M (Jun 2022),0.0,32.3,31.15,0.0,30.6,-0.475,0,0,0
16,2022-05-09,M (Jun 2022),0.0,32.75,31.85,0.0,33.0,2.4,0,0,0
17,2022-05-10,M (Jun 2022),0.0,32.65,32.05,0.0,32.025,-0.975,0,0,0
18,2022-05-11,M (Jun 2022),0.0,31.9,30.95,0.0,31.85,-0.175,0,0,0
19,2022-05-12,M (Jun 2022),0.0,32.5,31.4,0.0,31.05,-0.8,0,0,0
20,2022-05-13,M (Jun 2022),0.0,30.25,29.8,0.0,29.275,-1.775,0,0,0
21,2022-05-16,M (Jun 2022),0.0,28.95,28.45,0.0,28.025,-1.25,0,0,0
22,2022-05-17,M (Jun 2022),0.0,27.15,27.05,0.0,27.2,-0.825,0,0,0
23,2022-05-18,M (Jun 2022),28.0,31.1,27.6,28.0,31.275,4.075,11,0,11
24,2022-05-19,M (Jun 2022),0.0,32.4,29.5,0.0,29.225,-2.05,0,0,11
25,2022-05-20,M (Jun 2022),29.35,31.5,28.6,30.5,29.575,0.35,17,0,26
26,2022-05-23,M (Jun 2022),29.6,29.7,28.7,28.8,28.95,-0.625,2,0,26
27,2022-05-24,M (Jun 2022),29.95,30.75,29.65,29.8,30.05,1.1,21,0,16
28,2022-05-25,M (Jun 2022),30.0,30.45,28.85,28.85,29.275,-0.775,26,0,22
29,2022-05-26,M (Jun 2022),28.3,29.0,28.3,28.4,28.45,-0.825,20,0,42
30,2022-05-27,M (Jun 2022),28.6,28.6,27.2,27.45,27.0,-1.45,13,0,44
31,2022-05-31,M (Jun 2022),0.0,27.8,26.35,0.0,26.5,-0.5,0,0,44
32,2022-06-01,M (Jun 2022),0.0,26.35,26.1,0.0,26.09,-0.41,0,0,44
